respondent,dept,n,dept_en,dept_fr
Number of staffing advisors,047,3,Canadian Environmental Assessment Agency,Agence canadienne d’évaluation environnementale
Number of managers or supervisors,047,39,Canadian Environmental Assessment Agency,Agence canadienne d’évaluation environnementale
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",047,24,Canadian Environmental Assessment Agency,Agence canadienne d’évaluation environnementale
Number of employees,053,1033,Public Safety Canada,Sécurité publique Canada
Number of respondents,053,485,Public Safety Canada,Sécurité publique Canada
Number of staffing advisors,053,7,Public Safety Canada,Sécurité publique Canada
Number of managers or supervisors,053,175,Public Safety Canada,Sécurité publique Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",053,100,Public Safety Canada,Sécurité publique Canada
Number of employees,054,207,Canadian Transportation Agency,Office des transports du Canada
Number of respondents,054,114,Canadian Transportation Agency,Office des transports du Canada
Number of staffing advisors,054,1,Canadian Transportation Agency,Office des transports du Canada
Number of managers or supervisors,054,34,Canadian Transportation Agency,Office des transports du Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",054,24,Canadian Transportation Agency,Office des transports du Canada
Number of employees,063,676,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada
Number of respondents,063,276,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada
Number of staffing advisors,063,1,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada
Number of managers or supervisors,063,95,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",063,51,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada
Number of employees,070,1951,Public Health Agency of Canada,Agence de la santé publique du Canada
Number of respondents,070,861,Public Health Agency of Canada,Agence de la santé publique du Canada
Number of staffing advisors,070,0,Public Health Agency of Canada,Agence de la santé publique du Canada
Number of managers or supervisors,070,293,Public Health Agency of Canada,Agence de la santé publique du Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",070,152,Public Health Agency of Canada,Agence de la santé publique du Canada
Number of employees,073,175,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général
Number of respondents,073,70,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général
Number of staffing advisors,073,1,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général
Number of managers or supervisors,073,22,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",073,10,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général
Number of employees,074,902,Library and Archives Canada,Bibliothèque et Archives Canada
Number of respondents,074,520,Library and Archives Canada,Bibliothèque et Archives Canada
Number of staffing advisors,074,3,Library and Archives Canada,Bibliothèque et Archives Canada
Number of managers or supervisors,074,130,Library and Archives Canada,Bibliothèque et Archives Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",074,74,Library and Archives Canada,Bibliothèque et Archives Canada
